"average(cantidad)","sum(cantidad)","average(gain)","sum(gain)","average(gap)","average(precio_compra)","average(precio_venta)","day"
738.81,1477.62,330.61747500000115,661.2349500000023,0.44750000000000156,20.2286,20.6761,2022-03-18 14:00:00
308.0414285714286,2156.29,137.72532271428648,964.0772590000054,0.4471000000000025,20.2199,20.667,2022-03-19 08:00:00
3233.996,16169.980000000001,1439.4516196000002,7197.258098000001,0.44510000000000005,20.2264,20.6715,2022-03-20 08:00:00
1018.6010000000002,10186.010000000002,453.2774450000003,4532.774450000003,0.4450000000000003,20.2244,20.6694,2022-03-21 08:00:00
351.71857142857147,2462.03,160.8760745714285,1126.1325219999994,0.4573999999999998,20.105500000000003,20.562899999999996,2022-03-22 08:00:00
330.5625,1322.25,160.5542062499993,642.2168249999972,0.4856999999999978,20.012,20.4977,2022-03-23 10:00:00
294.2683333333334,1765.6100000000001,133.3329818333331,799.9978909999985,0.45309999999999917,19.9358,20.388900000000003,2022-03-24 10:00:00
1862.3914285714288,13036.740000000002,827.4605117142892,5792.223582000024,0.4443000000000019,19.847800000000003,20.2921,2022-03-25 10:00:00
595.2325000000001,2380.9300000000003,264.521323000001,1058.085292000004,0.4444000000000017,19.8447,20.2891,2022-03-26 08:00:00
789.423,7894.2300000000005,350.1880428,3501.880428,0.4436,19.8554,20.299000000000003,2022-03-27 08:00:00
1677.7785714285715,11744.45,763.724805714288,5346.073640000016,0.4552000000000014,19.907700000000002,20.3629,2022-03-28 08:00:00
567.7433333333333,3406.46,264.05742433333313,1584.3445459999987,0.4650999999999996,19.7307,20.195799999999995,2022-03-29 08:00:00
346.05,2076.3,152.01976499999978,912.1185899999987,0.43929999999999936,19.7358,20.1751,2022-03-30 08:00:00
711.7914285714286,4982.54,317.17426057142774,2220.2198239999943,0.4455999999999989,19.736,20.1816,2022-03-31 08:00:00
407.72999999999996,2038.6499999999999,182.74458599999997,913.7229299999999,0.44819999999999993,19.6799,20.1281,2022-04-01 09:00:00
768.03,3072.12,344.23104599999994,1376.9241839999997,0.44819999999999993,19.6829,20.1311,2022-04-02 13:00:00
366.09857142857146,2562.69,163.13352342857098,1141.934663999997,0.4455999999999989,19.682199999999998,20.127800000000004,2022-04-03 08:00:00
242.33999999999997,484.67999999999995,106.84770600000066,213.6954120000013,0.44090000000000273,19.6331,20.074,2022-04-04 09:00:00
211.80599999999998,1059.03,93.36408479999987,466.8204239999994,0.4407999999999994,19.7266,20.1674,2022-04-05 08:00:00
1062.6399999999999,10626.4,468.62424000000266,4686.2424000000265,0.4410000000000025,19.883199999999995,20.324199999999998,2022-04-06 08:00:00
581.6642857142857,4071.65,256.5139499999994,1795.5976499999958,0.44099999999999895,19.9255,20.3665,2022-04-07 08:00:00
197.67999999999995,1186.0799999999997,87.41409599999996,524.4845759999997,0.4421999999999997,19.908600000000003,20.350799999999996,2022-04-08 09:00:00
1428.22,8569.32,631.5588839999995,3789.353303999997,0.4421999999999997,19.9145,20.3567,2022-04-09 11:00:00
2643.0359999999996,13215.179999999998,1165.3145723999978,5826.572861999989,0.4408999999999992,19.9188,20.3597,2022-04-10 11:00:00
1607.8899999999999,11255.23,707.7931779999956,4954.552245999969,0.44019999999999726,19.817900000000005,20.258099999999995,2022-04-11 10:00:00
526.186,2630.9300000000003,249.25430820000048,1246.2715410000023,0.4737000000000009,19.6995,20.1732,2022-04-12 08:00:00
285.22625,2281.81,125.69920837500091,1005.5936670000073,0.4407000000000032,19.6486,20.089300000000005,2022-04-13 08:00:00
492.00999999999993,2460.0499999999997,216.87800799999974,1084.3900399999986,0.4407999999999994,19.6648,20.1056,2022-04-14 08:00:00
218.94,1094.7,96.50875199999987,482.5437599999994,0.4407999999999994,19.6771,20.1179,2022-04-15 08:00:00
327.83666666666676,2950.5300000000007,144.4776189999999,1300.298570999999,0.44069999999999965,19.6634,20.1041,2022-04-16 09:00:00
252.31249999999997,1009.2499999999999,111.2445812499998,444.9783249999992,0.4408999999999992,19.6677,20.1086,2022-04-17 08:00:00
393.685,2362.11,173.5757164999997,1041.4542989999982,0.4408999999999992,19.6887,20.1296,2022-04-18 09:00:00
211.1275,844.51,95.3662917500005,381.465167000002,0.45170000000000243,19.8053,20.257,2022-04-19 08:00:00
101.678,508.39,44.63664200000001,223.18321000000003,0.43900000000000006,19.8328,20.2718,2022-04-20 09:00:00
231.74200000000002,1158.71,100.71507319999992,503.57536599999963,0.43459999999999965,19.9624,20.397,2022-04-21 08:00:00
1465.4271428571428,10257.99,697.250234571428,4880.751641999996,0.47579999999999956,19.9877,20.4635,2022-04-22 08:00:00
255.47000000000003,766.4100000000001,121.52707899999996,364.5812369999999,0.4756999999999998,19.9972,20.4729,2022-04-23 08:00:00
499.66,1998.64,236.9387719999999,947.7550879999995,0.47419999999999973,20.0084,20.4826,2022-04-24 08:00:00
217.88666666666668,1307.3200000000002,101.88380533333276,611.3028319999966,0.46759999999999735,19.9932,20.460800000000003,2022-04-25 10:00:00
189.8575,1518.86,89.53679699999975,716.294375999998,0.4715999999999987,20.106799999999996,20.5784,2022-04-26 08:00:00
1550.498,15504.980000000001,731.214856799998,7312.14856799998,0.4715999999999987,20.1431,20.6147,2022-04-27 08:00:00
491.0933333333333,1473.28,231.64872533333434,694.946176000003,0.471700000000002,20.2172,20.6889,2022-04-28 09:00:00
394.4927272727273,4339.42,186.51616145454665,2051.677776000013,0.472800000000003,20.148400000000002,20.621199999999998,2022-04-29 09:00:00
243.426,1217.1299999999999,115.09181279999987,575.4590639999993,0.47279999999999944,20.1548,20.6276,2022-04-30 12:00:00
196.17571428571424,1373.2299999999996,92.65378985714297,648.5765290000007,0.4723000000000006,20.157,20.6293,2022-05-01 09:00:00
445.8499999999999,2675.0999999999995,210.2628599999994,1261.5771599999964,0.4715999999999987,20.1724,20.644000000000002,2022-05-02 08:00:00
268.3183333333333,1609.91,126.56575783333388,759.3945470000033,0.471700000000002,20.0736,20.5453,2022-05-03 08:00:00
